

 报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),37358,38362,16173,144639,30654,34496,14804,90797,5401,19610,8264,89204,3991,18132,10552,83167,18695,17799,9010,51048,28161,30274,10427,34375,12377,13457,5451,33475,13023,14371, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 收到的其他与经营活动有关的现金(万元),3177,2167,129,5862,1952,1451,499,3083,2911,1716,500,3973,6713,3347,338,4848,3110,6916,2257,6077,2933,5313,5095,3260,4652,4408,2222,5402,567,506, 
 经营活动现金流入小计(万元),40535,40529,16302,150502,32606,35947,15303,93879,8312,21326,8765,93177,10703,21478,10890,88015,21805,24715,11268,57125,31094,35587,15522,37635,17029,17866,7673,38877,13590,14877, 
 购买商品、接受劳务支付的现金(万元),23484,17504,12382,56614,18085,15054,4400,59751,31043,12905,5301,32062,10506,6101,3465,19968,5593,5693,2026,14438,20075,16566,1382,18197,13889,10493,5606,23878,11862,6233, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 支付给职工以及为职工支付的现金(万元),5660,3584,1906,7142,4939,3094,1704,6458,4911,3422,981,4409,3099,2209,621,3225,2396,1604,598,2818,1831,1345,1079,2263,1988,1607,387,1959,1348,441, 
 支付的各项税费(万元),1349,1017,312,3239,2052,1765,972,1121,727,937,542,344,221,171,71,988,730,570,340,434,1296,1277,142,209,249,109,45,133,252,92, 
 支付的其他与经营活动有关的现金(万元),10860,7624,4189,31096,14334,8187,4447,14523,4752,8011,3921,15741,14501,9309,5390,12615,9568,5333,868,15054,6241,4625,2135,6293,7798,4762,2190,7119,1384,1463, 
 经营活动现金流出小计(万元),41352,29728,18788,98091,39409,28100,11524,81854,41433,25276,10745,52554,28327,17790,9547,36797,18286,13200,3832,32744,29443,23813,4737,26962,23923,16972,8228,33090,14846,8229, 
