

报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),91141,84563,69871,170531,95193,83292,58562,155227,86105,75279,44006,128040,69114,59444,38808,105475,49672,38386,20814,108130,64329,44593,26003,71206,37453,28559,15628,95161,103216,80800,42539,
营业收入(万元),91141,84563,69871,170531,95193,83292,58562,155227,86105,75279,44006,128040,69114,59444,38808,105475,49672,38386,20814,108130,64329,44593,26003,71206,37453,28559,15628,95161,103216,80800,42539,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
营业总成本(万元),86522,72654,53773,159544,88962,71240,44706,137083,80899,65550,33887,118358,67072,54890,33372,103498,52483,38026,19079,108148,67926,46556,26857,72565,39664,28604,15406,91815,101398,78027,40858,
营业成本(万元),64047,57223,46161,114270,65106,55905,37299,100255,61030,51612,27901,90789,52840,44411,27808,77975,38973,28943,14610,84134,51574,35001,20007,54433,29462,21960,12006,74525,91099,71151,37194,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
营业税金及附加(万元),56,46,16,112,83,45,18,84,50,27,17,34,23,22,2,117,41,37,5,132,79,79,30,93,91,91,3,-830,468,284,131,
销售费用(万元),8372,5689,3586,13407,8350,5589,3041,13601,7605,5655,2515,11018,6355,4697,2701,9619,5133,3453,1805,10223,7179,5041,2761,8741,5289,3603,1960,8102,5357,3681,1951,
管理费用(万元),9811,6908,3363,19098,11908,7596,3294,17494,10296,6863,2835,12854,6716,4657,2431,11734,6334,4314,2233,9466,7164,4964,3351,7465,4105,2880,1477,8117,4161,2827,1623,
财务费用(万元),4226,2678,1363,8095,3297,2228,1124,4145,1490,1170,649,2481,1059,911,458,2037,2077,1387,482,2898,1803,1234,627,774,819,380,-34,1470,313,149,-41,
