报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),2990173,2208482,1122992,4683054,4069947,3176031,1467780,5077630,4130314,3036325,1398836,3395494,2590396,1694600,717829,1649588,1271775,749530,284729,1374526,1086909,719295,266438,914495,697528,439363,187242,521019,386492,242015,85499,
营业收入(万元),2990173,2208482,1122992,4683054,4069947,3176031,1467780,5077630,4130314,3036325,1398836,3395494,2590396,1694600,717829,1649588,1271775,749530,284729,1374526,1086909,719295,266438,914495,697528,439363,187242,521019,386492,242015,85499,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
营业总成本(万元),2658930,1894475,954148,4075516,3415307,2583070,1138212,4100167,3188907,2307190,1071328,2715069,2028792,1333140,596589,1384451,1060270,641906,250678,1196572,919687,595564,215932,757993,575321,355108,149152,451599,331395,216503,78758,
营业成本(万元),2136216,1519399,744480,3196325,2710268,2050015,903792,3225223,2567704,1878684,874523,2144184,1622462,1057465,475993,1116108,870778,521750,197561,962756,764727,497290,180685,598420,451719,282908,119129,339740,253681,164729,56173,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
营业税金及附加(万元),17648,14048,5175,16681,13119,9461,2953,25952,22630,16584,6633,13124,9546,6430,2073,4910,4076,2203,1129,1778,504,309,97,692,558,448,9,2046,1137,845,164,
销售费用(万元),230313,170010,92982,397413,329523,230528,118053,421600,309329,232087,101180,320483,222100,143388,60828,168075,114068,71140,27263,133146,94076,59362,21392,88291,68059,39998,13885,59378,40757,27406,11316,
管理费用(万元),206248,139233,70741,336724,256384,168333,76001,306314,200247,139250,69141,192150,121896,78908,33739,77065,51118,33137,16534,77178,57837,40027,20816,50393,36923,22105,12314,34599,25046,15393,8439,
财务费用(万元),45838,28289,23552,135848,122439,81773,9361,80727,58116,15913,-3343,29833,22124,23569,6426,8869,8028,6472,8223,13289,-3446,-7477,-7080,12097,10142,6428,3815,11847,8264,5379,2666,
资产减值损失(万元),22668,23495,17218,-7475,-16426,42960,28051,40352,30881,24670,23194,15295,30664,23380,17529,9423,12202,7203,-33,8424,5988,6053,22,8100,7919,3222,0,3990,2510,2750,--,
公允价值变动收益(万元),-20318,-16104,-154,-13936,945,-7499,6941,-6866,-6749,-3673,-962,5035,2804,-1172,143,4515,3596,2761,-590,-18403,-17365,-18478,-10194,9950,20716,4746,734,3283,4699,6148,193,
投资收益(万元),9750,8980,3762,16137,12332,11329,4665,14123,8543,7749,230,4229,1385,-987,-136,-7287,-5107,-3433,-346,-6352,-13844,-2774,174,39874,27565,15393,8675,8778,2839,443,186,
对联营企业和合营企业的投资收益(万元),-827,-365,13,2506,2342,2616,3087,3812,1168,2048,-2437,1642,1139,294,759,732,154,154,--,128,109,109,--,195,66,0,0,90,56,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,
营业利润(万元),320675,306883,172453,609739,667916,596791,341175,984720,943201,733212,326776,689688,565793,359301,121246,262365,209994,106951,33116,153199,136013,102478,40485,206326,170489,104393,47499,81482,62635,32103,7121,
营业外收入(万元),58512,36472,21607,100768,61584,43687,6982,102207,19931,6568,4267,15082,7282,5711,3036,4475,3016,2215,1248,4398,3447,1781,453,3368,751,283,55,1104,1013,696,331,
营业外支出(万元),9546,10620,263,22441,6434,4818,277,7700,5245,4478,1867,10946,6893,3162,2175,3951,3110,1608,727,3542,1920,1250,692,1386,298,238,138,492,228,92,3,
非流动资产处置损失(万元),3800,2600,596,2525,2262,773,564,3218,1655,1510,353,1596,924,417,160,1140,960,330,310,985,91,28,12,102,71,50,29,107,71,71,-131,
利润总额(万元),369640,332734,193797,688066,723067,635660,347880,1079227,957887,735302,329176,693825,566182,361849,122108,262890,209899,107559,33637,154054,137540,103009,40246,208309,170942,104438,47416,82094,63420,32706,7449,
所得税费用(万元),53036,48410,25332,86998,102168,92341,53862,143071,133984,100521,46294,77422,77534,46320,16040,25894,24858,11565,4199,6614,9393,7570,5006,17730,18552,9976,4760,7974,6986,4375,530,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,
净利润(万元),316604,284325,168465,601068,620899,543320,294018,936155,823903,634780,282882,616403,488648,315529,106067,236996,185041,95994,29439,147441,128147,95439,35240,190579,152390,94462,42656,74120,56434,28331,6919,
归属于母公司所有者的净利润(万元),297732,265096,157237,568610,587443,516019,280431,864890,767133,593929,266307,561546,444485,287524,93184,196258,153524,79252,23646,123223,108326,81607,30255,160616,134506,82449,36634,59200,52170,25758,6019,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,38353,38353,38353,--,--,--,--,--,--,--,--,--,7204,--,--,--,9332,0,--,--,
少数股东损益(万元),18872,19229,11228,32459,33456,27301,13586,71266,56770,40851,16575,54857,44164,28005,12884,40738,31518,16742,5792,24217,19821,13832,4986,22759,17884,12014,6022,5588,4264,2573,900,
基本每股收益,0.39,0.35,0.21,0.75,0.77,0.68,0.37,1.14,1.01,0.78,0.35,1.11,0.88,1.19,0.58,1.32,1.03,0.53,0.16,0.83,0.73,0.82,0.31,1.65,1.39,0.86,0.76,0.62,0.54,0.27,0.13,
稀释每股收益,0.39,0.35,0.21,0.75,0.77,0.68,0.37,1.14,1.01,0.78,0.35,1.11,0.88,1.19,0.58,1.32,1.03,0.53,0.16,0.83,0.73,0.82,0.31,1.65,1.39,0.86,0.76,0.62,0.54,0.27,0.13,
